papel;cotacao;pl;pvp;psr;dy;pa;pcg;pebit;pacl;evebit;evebitda;mrgebit;mrgliq;roic;roe;liqc;liq2m;patrliq;divbpatr;c5y
CSAB4;50.0;21.07;2.02;84.656;0.022400000000000003;0.982;0.0;29.29;0.0;0.0;0.0;2.89;4.0183;0.0;0.096;0.0;674.73;189874000.0;0.0;-0.308
CSAN3;15.5;24.7;1.41;0.731;0.0276;0.216;2.97;5.07;-0.48;12.61;8.26;0.1442;0.071;0.049;0.056900000000000006;1.62;155787000.0;20653200000.0;2.74;0.3922
CSED3;3.13;24.8;0.81;0.588;0.042699999999999995;0.246;2.15;3.58;-0.55;4.02;2.4;0.16440000000000002;0.023700000000000002;0.08650000000000001;0.032799999999999996;1.84;2302170.0;1439340000.0;0.75;0.1024
CSMG3;15.19;9.03;0.8;0.94;0.0253;0.463;889.45;5.12;-1.69;7.81;4.62;0.1834;0.10400000000000001;0.0955;0.0889;1.0;24582700.0;7191000000.0;0.48;0.0721
CSNA3;17.99;15.35;1.22;0.538;0.13449999999999998;0.279;2.93;2.37;-0.72;5.1;3.97;0.2267;0.0489;0.154;0.0797;1.36;138351000.0;19489500000.0;2.1;0.21530000000000002
CSRN3;27.36;7.91;3.27;1.298;0.1467;0.873;74.17;5.04;-1.74;7.41;6.35;0.2576;0.16390000000000002;0.19149999999999998;0.41350000000000003;1.05;4055.85;1405000000.0;1.73;0.1166
CSRN5;24.06;6.96;2.88;1.141;0.18359999999999999;0.768;65.22;4.43;-1.53;6.8;5.83;0.2576;0.16390000000000002;0.19149999999999998;0.41350000000000003;1.05;1161.66;1405000000.0;1.73;0.1166
CSRN6;24.3;7.03;2.91;1.152;0.18170000000000003;0.775;65.87;4.47;-1.55;6.85;5.87;0.2576;0.16390000000000002;0.19149999999999998;0.41350000000000003;1.05;789.88;1405000000.0;1.73;0.1166
CSUD3;10.0;6.12;1.15;0.793;0.0933;0.708;19.39;4.13;-8.53;4.15;2.58;0.1918;0.12960000000000002;0.2152;0.1883;1.14;865710.0;362819000.0;0.24;0.054299999999999994
CTNM3;4.11;-0.41;0.25;0.071;0.0;0.033;-5.32;-0.99;-0.09;-9.47;-69.0;-0.0712;-0.2995;-0.04019999999999999;-0.6074;0.98;147.81;504079000.0;2.75;-0.011000000000000001
CTNM4;1.42;-0.14;0.09;0.024;0.0;0.012;-1.84;-0.34;-0.03;-8.82;-64.27;-0.0712;-0.2995;-0.04019999999999999;-0.6074;0.98;24061.9;504079000.0;2.75;-0.011000000000000001
CTSA3;1.81;-1.46;0.18;0.104;0.1199;0.081;-1.4;-6.14;-0.34;-21.79;64.23;-0.0169;-0.0712;-0.015600000000000001;-0.1234;0.84;7688.15;279573000.0;0.59;0.0535
CTSA4;1.39;-1.12;0.14;0.08;0.1718;0.063;-1.08;-4.72;-0.26;-20.36;60.02;-0.0169;-0.0712;-0.015600000000000001;-0.1234;0.84;13447.4;279573000.0;0.59;0.0535
